yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017488P	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017444B	Entry	Entry name	Status	Protein names	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Cross-reference (REBASE)	Cross-reference (eggNOG)	Cross-reference (KO)	Cross-reference (OrthoDB)	Cross-reference (Pfam)	Cross-reference (KEGG)	Taxonomic lineage (CLASS)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (ORDER)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)	Protein families
arCOG00878		Q8PZR1	Q8PZR1_METMA	unreviewed	Type I restriction-modification system restriction subnit (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	6283;	arCOG00878;COG0610;	K01153;	POG093Z005E;	PF11867;PF04313;PF04851;	mma:MM_0431;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG00878		Q8TK40	Q8TK40_METAC	unreviewed	Type I site-specific deoxyribonuclease						5999;	arCOG00878;COG0610;		POG093Z0GN8;	PF11867;	mac:MA_3581;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina acetivorans	
arCOG00878		Q8TN42	Q8TN42_METAC	unreviewed	Uncharacterized protein	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]			ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]	GO:0003677; GO:0005524; GO:0016787	12065;	arCOG00878;COG0610;		POG093Z005E;	PF04851;	mac:MA_2451;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina acetivorans	
arCOG00878		Q9HSR7	Q9HSR7_HALSA	unreviewed	Type I restriction modification enzyme, R subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	4875;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF04313;PF04851;	hal:VNG_0108G;	Halobacteria	Halobacteriaceae	Halobacterium		Halobacteriales	Euryarchaeota	Halobacterium salinarum (Halobacterium halobium)	
arCOG00878		Q9V1Y1	Q9V1Y1_PYRAB	unreviewed	HsdR type I restriction-modification enzyme, R subunit (Type I restriction-modification enzyme, R subunit)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	4169;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF04313;PF04851;	pab:PAB2154;	Thermococci	Thermococcaceae	Pyrococcus		Thermococcales	Euryarchaeota	Pyrococcus abyssi	
arCOG00878		S0AR25	S0AR25_FERAC	unreviewed	Uncharacterized protein	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0009035; GO:0009307	66024;	arCOG00878;COG0610;	K01153;	POG093Z009W;	PF04313;PF04851;	fac:FACI_IFERC01G1416;	Thermoplasmata	Ferroplasmaceae	Ferroplasma		Thermoplasmatales	Euryarchaeota	Ferroplasma acidarmanus	
arCOG00880		A3CUH7	A3CUH7_METMJ	unreviewed	Type III restriction enzyme, res subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	14786;	arCOG00880;COG4096;	K01153;	POG093Z007B;	PF08463;PF00271;PF04313;PF04851;	mem:Memar_1094;	Methanomicrobia	Methanomicrobiaceae	Methanoculleus		Methanomicrobiales	Euryarchaeota	Methanoculleus marisnigri	
arCOG00880		A4FZ35	A4FZ35_METM5	unreviewed	Type III restriction enzyme, res subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]	GO:0003677; GO:0005524; GO:0006304; GO:0016787	15016;	arCOG00880;COG4096;	K01153;	POG093Z007B;	PF08463;PF00271;PF04851;	mmq:MmarC5_1171;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus maripaludis (Methanococcus deltae)	
arCOG00880		A7I737	A7I737_METB6	unreviewed	Type III restriction enzyme, res subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	15914;	arCOG00880;COG4096;	K01153;	POG093Z008J;	PF08463;PF00271;PF04313;PF04851;	mbn:Mboo_1030;	Methanomicrobia	Methanoregulaceae	Methanoregula		Methanomicrobiales	Euryarchaeota	Methanoregula boonei	
arCOG00880		C6A4W6	C6A4W6_THESM	unreviewed	Type III restriction enzyme, res subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]	GO:0003677; GO:0005524; GO:0006304; GO:0016787	21168;	arCOG00880;COG4096;	K01153;	POG093Z00E3;	PF08463;PF00271;PF13588;PF04851;	tsi:TSIB_1610;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus sibiricus	
arCOG00880		C7P6A6	C7P6A6_METFA	unreviewed	Type I site-specific deoxyribonuclease (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0006304; GO:0009035	21666;	arCOG00880;COG4096;	K01153;	POG093Z00E3;	PF08463;PF00271;PF13588;PF04851;	mfe:Mefer_0250;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus fervens	
arCOG00880		D4GVY5	D4GVY5_HALVD	unreviewed	Type I site-specific deoxyribonuclease subunit RmeR (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0006304; GO:0009035	25107;	arCOG00880;COG4096;	K01153;	POG093Z008J;	PF08463;PF00271;PF04313;PF04851;	hvo:HVO_2269;	Halobacteria	Haloferacaceae	Haloferax		Haloferacales	Euryarchaeota	Haloferax volcanii (Halobacterium volcanii)	
arCOG00880		F6D6L9	F6D6L9_METPW	unreviewed	Type I site-specific deoxyribonuclease (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0006304; GO:0009035	36346;	arCOG00880;COG4096;	K01153;	POG093Z007B;	PF08463;PF00271;PF04851;	mew:MSWAN_0698;	Methanobacteria	Methanobacteriaceae	Methanobacterium		Methanobacteriales	Euryarchaeota	Methanobacterium paludis (strain DSM 25820 / JCM 18151 / SWAN1)	
arCOG00880		L9V8J1	L9V8J1_HALVD	unreviewed	Type I restriction-modification system restriction subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]	GO:0003677; GO:0005524; GO:0006304; GO:0016787		arCOG00880;COG4096;		POG093Z008J;	PF08463;PF00271;PF04851;		Halobacteria	Haloferacaceae	Haloferax		Haloferacales	Euryarchaeota	Haloferax volcanii (Halobacterium volcanii)	
arCOG00880		Q0W4T5	Q0W4T5_METAR	unreviewed	Type I restriction modification system,restriction subunit (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0006304; GO:0009035	13572;	arCOG00880;COG4096;	K01153;	POG093Z00RU;	PF08463;PF00271;PF04851;	rci:RCIX1321;	Methanomicrobia	Methanocellaceae	Methanocella		Methanocellales	Euryarchaeota	Methanocella arvoryzae	
arCOG00880		Q12YI5	Q12YI5_METBU	unreviewed	Restriction endonuclease	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	12193;	arCOG00880;COG4096;	K01153;	POG093Z00RU;	PF08463;PF04313;PF04851;	mbu:Mbur_0509;	Methanomicrobia	Methanosarcinaceae	Methanococcoides		Methanosarcinales	Euryarchaeota	Methanococcoides burtonii	
arCOG00880		Q2FL05	Q2FL05_METHJ	unreviewed	Type I site-specific deoxyribonuclease						12009;	arCOG00880;COG4096;		POG093Z00RU;		mhu:Mhun_1664;	Methanomicrobia	Methanospirillaceae	Methanospirillum		Methanomicrobiales	Euryarchaeota	Methanospirillum hungatei	
arCOG00880		Q466N7	Q466N7_METBF	unreviewed	Type I site-specific deoxyribonuclease	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	11281;	arCOG00880;COG4096;	K01153;	POG093Z00RU;	PF08463;PF04313;PF04851;	mba:Mbar_A3274;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina barkeri	
arCOG00880		Q8PSD8	Q8PSD8_METMA	unreviewed	Type I restriction-modification system restriction subunit (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0006304; GO:0009035	6275;	arCOG00880;COG4096;	K01153;	POG093Z007B;	PF08463;PF00271;PF04313;PF04851;	mma:MM_3141;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG00880		Q8PTL0	Q8PTL0_METMA	unreviewed	Type I restriction-modification system restriction subunit (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0006304; GO:0009035	6266;	arCOG00880;COG4096;	K01153;	POG093Z008J;	PF08463;PF00271;PF04313;PF04851;	mma:MM_2705;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG00880		Q8PTV1	Q8PTV1_METMA	unreviewed	Type I restriction enzyme	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]			ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]	GO:0003677; GO:0005524; GO:0016787		arCOG00880;COG4096;		POG093Z00E3;	PF04851;	mma:MM_2610;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG00880		Q8PWC8	Q8PWC8_METMA	unreviewed	Type I restriction-modification system restriction subunit (EC 3.1.21.3)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]	GO:0003677; GO:0005524; GO:0006304; GO:0009035	6268;	arCOG00880;COG4096;	K01153;	POG093Z00RU;	PF08463;PF04313;PF04851;	mma:MM_1661;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG00880		Q8TMI1	Q8TMI1_METAC	unreviewed	Uncharacterized protein							arCOG00880;COG4096;				mac:MA_2678;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina acetivorans	
arCOG00880		Q8TN75	Q8TN75_METAC	unreviewed	Type I site-specific deoxyribonuclease protein R	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	5996;	arCOG00880;COG4096;	K01153;	POG093Z004J;	PF13643;PF08463;PF00271;PF04313;PF04851;	mac:MA_2418;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina acetivorans	
arCOG00880		Q8TP05	Q8TP05_METAC	unreviewed	Type I site-specific deoxyribonuclease	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	5987;	arCOG00880;COG4096;	K01153;	POG093Z00RU;	PF08463;PF04313;PF04851;	mac:MA_2122;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina acetivorans	
arCOG00880		Q8TP20	Q8TP20_METAC	unreviewed	Uncharacterized protein	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0005524; GO:0006304	5993;	arCOG00880;COG4096;	K01153;	POG093Z007B;	PF08463;PF00271;PF04313;PF04851;	mac:MA_2106;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina acetivorans	
arCOG00889		A1RYV2	A1RYV2_THEPD	unreviewed	Uncharacterized protein	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]			methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0008168		arCOG00889;COG1743;	K07445;	POG093Z0077;	PF06634;	tpe:Tpen_0982;	Thermoprotei	Thermofilaceae	Thermofilum		Thermoproteales	Crenarchaeota	Thermofilum pendens	
arCOG00889		A3DM23	A3DM23_STAMF	unreviewed	Putative DNA methylase	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]			methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0008168	14815;	arCOG00889;COG1743;	K07445;	POG093Z0077;	PF06634;	smr:Smar_0576;	Thermoprotei	Desulfurococcaceae	Staphylothermus		Desulfurococcales	Crenarchaeota	Staphylothermus marinus	
arCOG00889		A3MU28	A3MU28_PYRCJ	unreviewed	Uncharacterized protein	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]			methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0008168	14841;	arCOG00889;COG1743;	K07445;	POG093Z0077;	PF06634;	pcl:Pcal_0719;	Thermoprotei	Thermoproteaceae	Pyrobaculum		Thermoproteales	Crenarchaeota	Pyrobaculum calidifontis	
arCOG00889		B1L4S4	B1L4S4_KORCO	unreviewed	Adenine-specific DNA methylase containing a Zn-ribbon	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]			methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0008168	17360;	arCOG00889;COG1743;	K07445;	POG093Z0077;	PF06634;	kcr:Kcr_0702;			Candidatus Korarchaeum			Candidatus Korarchaeota	Candidatus Korarchaeum cryptofilum	
arCOG00889		B8D3F1	B8D3F1_DESA1	unreviewed	Predicted DNA methylase	methyltransferase activity [GO:0008168]			methyltransferase activity [GO:0008168]	GO:0008168	19599;	arCOG00889;COG1743;		POG093Z0077;	PF06634;	dka:DKAM_0306;	Thermoprotei	Desulfurococcaceae	Desulfurococcus		Desulfurococcales	Crenarchaeota	Desulfurococcus amylolyticus	
arCOG00889		B8D457	B8D457_DESA1	unreviewed	Predicted DNA methylase containing a Zn-ribbon module	methyltransferase activity [GO:0008168]			methyltransferase activity [GO:0008168]	GO:0008168	19597;	arCOG00889;COG1743;		POG093Z0077;	PF06634;	dka:DKAM_0562;	Thermoprotei	Desulfurococcaceae	Desulfurococcus		Desulfurococcales	Crenarchaeota	Desulfurococcus amylolyticus	
arCOG00889		B9LVU2	B9LVU2_HALLT	unreviewed	Adenine-specific DNA methylase	nucleic acid binding [GO:0003676]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]			nucleic acid binding [GO:0003676]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]	GO:0003676; GO:0009007	20075;	arCOG00889;COG1743;		POG093Z00HC;	PF06634;PF02086;	hla:Hlac_2761;	Halobacteria	Halorubraceae	Halorubrum		Haloferacales	Euryarchaeota	Halorubrum lacusprofundi	
arCOG00889		C5A7B4	C5A7B4_THEGJ	unreviewed	Site-specific DNA-methyltransferase (Adenine-specific), Type III restriction system mod subunit (EC 2.1.1.72)	nucleic acid binding [GO:0003676]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]			nucleic acid binding [GO:0003676]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]	GO:0003676; GO:0009007	21115;	arCOG00889;COG1743;		POG093Z0077;	PF06634;	tga:TGAM_1624;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus gammatolerans	
arCOG00889		C9RH25	C9RH25_METVM	unreviewed	Adenine-specific DNA methylase	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]			methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0008168	22206;	arCOG00889;COG1743;		POG093Z00HC;	PF01170;	mvu:Metvu_1019;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus vulcanius	
arCOG00889		C9RHT8	C9RHT8_METVM	unreviewed	Uncharacterized protein	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]			methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0008168	22201;	arCOG00889;COG1743;	K07445;	POG093Z0077;	PF06634;	mvu:Metvu_1287;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus vulcanius	
arCOG00115,arCOG00889		D1YX65	D1YX65_METPS	unreviewed	Uncharacterized protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	23120;	arCOG00115;arCOG00889;COG1743;		POG093Z00HS;	PF01555;	mpd:MCP_0965;	Methanomicrobia	Methanocellaceae	Methanocella		Methanocellales	Euryarchaeota	Methanocella paludicola	
